Q2,Q98,Q99,Q100,Q101,Q107,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q105_1,Q105_2,Q105_3,Q105_4,Q105_5,Q106_1,Q106_2,Q106_3,Q106_4,Q106_5,Q37,Q38,Q39,Q40,Q41,Q42,Q102,Q43,Q44,Q45,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56
75deb75f-2d7d-5635-892c-ddbcb858941a,Jamal Washington,Juan Garcia,President of the African American Student Association,President of the Latino and Chicano Student Association,,39,70,39,53,100,25,99,73,50,1,3,2,3,3,1,3,2,4,3,2,3,2,2,2,2,1,4,3,2,1,2,2,3,2,2,4,2,4,2,3,1,2,3,2,2,1,2,1,2,2,,1,2,1,1,1,59,1,3,3,3,3,,,,3,1
b9ade52c-3611-0849-6610-f0386cc52a2c,James Wolfe,Juan Garcia,President of the Future Farmers of America,President of the Latino and Chicano Student Association,,83,50,70,3,60,35,60,85,19,1,3,1,1,2,1,3,4,1,4,2,4,3,4,3,4,3,4,4,4,3,4,3,4,4,2,4,4,5,1,4,1,4,1,5,1,5,1,1,2,2,,1,1,1,2,1,24,1,6,3,3,1,,,2,2,1
f7437b84-4915-9c4f-ca94-55e24c6f8e11,James Wolfe,Julia O'Neill,Captain of the football team,Head cheerleader,,83,5,83,50,100,59,100,100,100,1,5,4,4,5,1,5,5,5,5,5,2,5,2,4,5,2,5,5,4,2,3,4,3,4,3,5,5,5,1,5,1,5,3,3,3,3,3,2,2,2,,1,1,1,2,1,22,1,3,3,4,1,,,1,2,1
bf9271f9-3ef9-d0e7-a97a-4db84f815b1b,James Wolfe,Jeremy O'Neill,President of the Young Republicans,President of the Young Democrats,,62,55,50,47,87,18,72,95,50,1,3,3,2,3,1,3,3,2,2,3,2,4,2,4,4,2,3,3,3,2,2,2,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,1,2,2,,1,4,7,2,1,7,1,4,2,4,3,,,,1,1
c94dc8ac-e5e0-e2d2-384a-52be5f9b5dd5,James Wolfe,Juan Garcia,President of the Future Farmers of America,President of the Latino and Chicano Student Association,,7,26,7,20,63,44,70,4,30,1,3,2,3,3,1,3,3,2,3,3,2,3,4,3,2,3,2,3,2,3,4,3,3,4,2,4,3,4,2,2,2,1,3,2,1,1,1,1,2,2,,1,3,1,1,3,30,2,1,1,2,2,,1,,3,1
2b86eb9c-aaef-76df-58c9-f71e4cafa70e,James Wolfe,Jeremy O'Neill,President of the Young Republicans,President of the Young Democrats,,41,1,17,1,53,1,54,54,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,1,5,1,1,5,1,1,4,3,3,3,3,1,5,3,5,3,2,2,2,,2,,6,1,1,26,1,1,5,6,4,3,,,4,1
132b57f4-0c4b-95a6-8b95-d0901622ed53,James Wolfe,Jeremy O'Neill,President of the Young Republicans,President of the Young Democrats,,100,51,51,0,100,31,100,100,20,1,3,3,3,3,1,3,4,3,5,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,5,3,5,1,5,1,4,5,5,3,5,1,1,2,2,,1,1,1,2,1,45,1,2,2,6,3,,,,3,1
06cd5060-f689-810b-e665-0aee4bd1bac4,James Wolfe,Juan Garcia,President of the Future Farmers of America,President of the Latino and Chicano Student Association,,93,56,83,57,73,54,59,36,37,1,3,2,3,3,1,3,3,4,3,3,1,4,2,4,3,2,4,3,3,1,3,1,3,3,1,4,3,4,1,4,1,4,4,2,2,1,2,1,2,1,,1,4,4,2,4,21,1,4,5,3,1,,,2,3,1
6521f061-1f65-31ee-83d5-3d5fa9220666,James Wolfe,Jamal Washington,President of the Future Farmers of America,President of the African American Student Association,,93,50,87,0,50,60,50,50,2,1,3,1,1,3,1,4,4,3,4,4,3,3,3,2,2,3,2,3,2,2,2,2,2,2,4,2,2,4,3,4,3,4,2,4,2,4,2,1,2,1,,1,1,1,1,1,61,1,1,2,2,3,,,,2,1
8d92afa9-bc64-eae2-43b8-c603322dc135,James Wolfe,Jamal Washington,President of the Future Farmers of America,President of the African American Student Association,,3,49,51,50,51,50,49,7,80,1,3,3,3,3,1,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,3,3,1,2,2,,1,2,1,2,1,49,1,3,2,2,3,,,,2,1
61568465-3802-f995-37ff-4df8c4096424,James Wolfe,Jamal Washington,President of the Future Farmers of America,President of the African American Student Association,,53,42,57,57,54,54,58,66,54,1,3,3,3,2,1,3,1,3,3,3,3,3,2,3,3,2,3,3,3,2,3,2,3,3,2,3,3,3,3,3,4,2,3,2,4,2,3,1,2,2,,1,2,1,1,4,27,1,4,4,3,2,,2,,2,1
07f1ff04-a581-eac3-0bf8-03aec2490bd8,James Wolfe,Jeremy O'Neill,President of the Campus Christians,President of the Gay and Lesbian Student Alliance,,90,9,90,5,5,5,85,85,60,1,2,1,1,4,1,1,4,3,5,5,2,4,2,5,5,2,4,4,2,1,2,4,2,2,4,3,4,5,1,5,1,4,2,5,2,4,2,2,2,2,,2,,7,1,3,38,2,1,3,2,1,,,1,2,1
a29244a1-837e-dafa-b990-b540f1a07200,James Wolfe,Jeremy O'Neill,President of the Young Republicans,President of the Young Democrats,,41,47,59,73,2,76,1,100,69,1,1,4,4,1,1,5,5,3,5,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,5,2,2,2,2,2,,2,,1,1,1,34,1,1,2,6,3,,,,1,1
3adeafb4-7dbf-e65f-cae7-5adfd65bfae2,James Wolfe,Jamal Washington,President of the Future Farmers of America,President of the African American Student Association,,70,1,30,1,100,1,100,100,10,1,3,3,3,3,1,3,3,3,3,4,3,4,2,3,3,3,3,2,4,4,2,4,3,2,4,3,2,5,3,3,4,3,4,2,2,4,2,1,2,2,,1,4,1,2,1,24,1,3,5,3,3,,,,4,1
3b63350c-0133-e3d6-e2bf-2d5dabb57604,James Wolfe,Jeremy O'Neill,President of the Campus Christians,President of the Gay and Lesbian Student Alliance,,80,0,84,0,81,0,0,81,0,1,3,3,3,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,5,1,3,1,5,1,5,1,2,2,1,,2,,1,2,1,14,1,1,3,3,1,,,2,1,1
69a1fd35-420a-ff3c-9905-f0ee03402223,James Wolfe,Jamal Washington,President of the Future Farmers of America,President of the African American Student Association,,0,60,1,58,100,59,100,1,8,1,4,4,4,3,1,4,3,3,4,4,2,4,1,4,4,1,4,4,4,2,4,1,4,4,1,4,4,4,5,2,3,1,4,3,4,1,1,1,1,1,,1,4,1,1,5,57,1,3,5,3,4,3,,,3,1
8b9ffb92-4708-88fd-94a9-0e06a9afb047,James Wolfe,Jamal Washington,President of the Future Farmers of America,President of the African American Student Association,,7,80,22,68,80,80,80,53,91,1,4,3,3,3,1,3,2,4,2,2,2,5,5,5,5,4,5,3,4,1,4,3,4,5,2,5,4,5,4,2,3,3,5,1,5,1,3,1,2,2,,1,2,1,2,1,53,1,4,3,2,2,,1,,2,1
99bb5d22-e7fb-b4c8-9713-600889cac6d1,James Wolfe,Julia O'Neill,Captain of the football team,Head cheerleader,,4,83,12,97,62,85,62,59,61,1,3,3,3,3,1,2,1,3,1,2,4,1,4,1,3,4,3,2,4,2,4,3,4,3,2,4,4,1,4,2,4,1,4,1,5,1,4,1,2,2,,1,2,1,2,1,47,1,1,4,2,2,,2,,4,1
28853f71-d365-404f-e3cd-a21bc69be6d2,James Wolfe,Juan Garcia,President of the Future Farmers of America,President of the Latino and Chicano Student Association,,81,50,51,59,100,91,100,100,100,1,3,2,3,2,1,3,3,2,3,2,2,4,3,3,3,4,4,4,2,3,2,3,2,3,4,3,4,4,3,3,2,2,3,4,3,2,2,1,2,2,,1,4,7,2,1,11,1,8,3,6,4,3,,,3,1
b5aaac7c-8cab-2be9-f09c-d77addd3389a,James Wolfe,Juan Garcia,President of the Future Farmers of America,President of the Latino and Chicano Student Association,,100,0,36,0,73,0,31,0,0,1,3,2,1,3,1,3,4,2,5,3,1,5,2,5,4,1,3,4,1,5,1,5,1,1,5,1,1,5,1,5,1,5,1,5,1,5,1,1,2,2,,1,1,7,1,1,57,1,1,3,3,3,,,,2,1
e0a572bd-7ed2-974a-7e39-1850bfe8e1da,James Wolfe,Juan Garcia,President of the Future Farmers of America,President of the Latino and Chicano Student Association,,2,72,20,100,100,40,100,100,61,1,3,1,4,5,1,3,1,5,1,2,1,2,1,2,2,1,2,2,4,1,4,1,4,4,1,5,5,2,1,2,1,1,5,1,5,1,4,1,2,2,,1,2,1,2,1,52,1,5,6,3,3,,,,3,1
b0286fae-a0e1-5b5f-c29b-b9fc88be54ea,James Wolfe,Jamal Washington,President of the Future Farmers of America,President of the African American Student Association,,4,3,5,5,6,6,4,5,5,1,3,3,3,3,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,,2,,1,1,1,36,1,1,3,6,3,,,,2,1
c44d3278-09ca-41d4-20ac-ec830b7b9399,James Wolfe,Jeremy O'Neill,President of the Young Republicans,President of the Young Democrats,,89,19,66,12,21,19,22,48,34,1,3,3,3,3,1,3,3,3,3,3,2,3,2,3,3,2,3,3,2,3,3,3,2,3,3,4,3,4,2,3,2,3,3,3,3,3,3,2,2,2,,2,,2,2,1,49,1,2,3,2,1,,,2,3,1
07421cb8-5d43-b27b-ec83-f52d442d1579,James Wolfe,Juan Garcia,President of the Future Farmers of America,President of the Latino and Chicano Student Association,,0,87,1,98,77,96,96,0,93,1,5,5,5,3,1,2,2,3,1,1,1,1,5,1,1,5,3,1,5,1,5,1,5,5,5,5,5,2,5,1,5,5,4,1,4,1,4,1,2,1,,1,2,1,1,1,63,1,4,5,2,3,,,,2,1
e3c153ad-eac5-18d7-cf04-44b041a6ab34,James Wolfe,Jeremy O'Neill,President of the Campus Christians,President of the Gay and Lesbian Student Alliance,,21,73,24,58,34,42,24,8,38,1,4,3,3,3,1,3,2,3,2,2,3,3,2,2,2,4,4,2,4,4,4,3,3,4,3,4,3,2,4,3,4,1,3,2,3,3,2,1,2,2,,1,2,1,1,4,12,1,1,5,2,2,,2,,2,1
3fbd48a2-cf86-be0a-3810-4fb7ea1c0736,James Wolfe,Jeremy O'Neill,President of the Campus Christians,President of the Gay and Lesbian Student Alliance,,40,51,31,45,11,5,44,20,20,1,3,3,3,3,1,3,3,5,3,1,3,1,5,1,1,5,3,1,1,3,3,5,1,1,5,3,1,5,3,5,3,4,5,3,3,1,4,1,2,2,,1,4,1,1,1,45,1,4,5,2,2,,2,,1,1
86cc0304-5da1-8384-75f2-94fc48b3fb79,James Wolfe,Juan Garcia,President of the Future Farmers of America,President of the Latino and Chicano Student Association,,59,69,66,76,50,71,30,50,84,1,3,2,3,5,1,3,3,5,3,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,4,3,4,3,3,4,3,4,4,4,2,2,2,,1,4,1,2,4,8,2,1,2,6,3,,,,3,1
