cntry,att_label,att_norm,vote_label,vote_norm,rule,same
BE,Vlaams - Progressieven (Spirit),vlaams progressieven spirit,SP.A. + Vlaams - Progressieven (Spirit),sp a vlaams progressieven spirit,none,FALSE
BE,SP.A.,sp a,Lijst Dedecker,lijst dedecker,none,FALSE
BE,SP.A.,sp a,CD&V + N-VA,cd v n va,none,FALSE
BE,Lijst Dedecker,lijst dedecker,SP.A. + Vlaams - Progressieven (Spirit),sp a vlaams progressieven spirit,none,FALSE
BE,Open VLD,open vld,CDH,cdh,none,FALSE
BE,SP.A,sp a,SP.A,sp a,exact,TRUE
BE,Vlaams Belang,vlaams belang,SP.A,sp a,none,FALSE
BE,Lijst Dedecker,lijst dedecker,CD&V,cd v,none,FALSE
BE,CDH,cdh,Parti Populaire,parti populaire,none,FALSE
BE,SP.A,sp a,Vlaams Belang,vlaams belang,none,FALSE
BE,PVDA+,pvda,PVDA+,pvda,exact,TRUE
BE,SP.A,sp a,N-VA,n va,none,FALSE
BE,N-VA,n va,Ecolo,ecolo,none,FALSE
BE,MR,mr,Parti Populaire,parti populaire,none,FALSE
BE,Ecolo,ecolo,PTB,ptb,none,FALSE
BE,Groen!,groen,SP.A,sp a,none,FALSE
BE,CD&V,cd v,SP.A,sp a,none,FALSE
BE,PS,ps,PTB,ptb,none,FALSE
BE,N-VA,n va,SP.A,sp a,none,FALSE
BE,Front National,front national,PTB,ptb,none,FALSE
BE,Open VLD,open vld,SP.A,sp a,none,FALSE
BE,SP.A,sp a,Groen!,groen,none,FALSE
BE,N-VA,n va,Lijst Dedecker,lijst dedecker,none,FALSE
BE,SP.A,sp a,PS,ps,none,FALSE
BE,SP.A,sp a,PVDA+,pvda,none,FALSE
BE,PVDA+,pvda,SP.A,sp a,none,FALSE
BE,SP.A,sp a,Open VLD,open vld,none,FALSE
BE,Groen!,groen,PVDA+,pvda,none,FALSE
BE,SP.A,sp a,CDH,cdh,none,FALSE
BE,CD&V,cd v,PVDA+,pvda,none,FALSE
BE,MR,mr,PTB,ptb,none,FALSE
BE,PS,ps,SP.A,sp a,none,FALSE
BE,CD&V,cd v,Open VLD,open vld,none,FALSE
BE,MR,mr,Open VLD,open vld,none,FALSE
BE,Vlaams Belang,vlaams belang,PS,ps,none,FALSE
BE,PVDA+,pvda,Open VLD,open vld,none,FALSE
BE,Parti Populaire,parti populaire,Parti Populaire,parti populaire,exact,TRUE
BE,Parti Populaire,parti populaire,MR,mr,none,FALSE
BE,Vlaams Belang,vlaams belang,PVDA+,pvda,none,FALSE
BE,Lijst Dedecker,lijst dedecker,N-VA,n va,none,FALSE
BE,Open VLD,open vld,PS,ps,none,FALSE
BE,PTB,ptb,CDH,cdh,none,FALSE
BE,Ecolo,ecolo,CD&V,cd v,none,FALSE
