source,country_unit,country_iso3,year,share_attached,share_not_attached,share_dk_refused,share_not_asked,n_raw,n_eff,w_total,reliable,lower,upper
Mannheim EB,BEL,BEL,1989,0.5143561347931235,0.39159176107145943,0.09405210413541713,0,4029,3561.279262651672,4029.9949,TRUE,0.49793438789641575,0.5307469427514075
Mannheim EB,BEL,BEL,1990,0.4301285544865832,0.49864860128820965,0.07122284422520715,0,1949,1677.9285163920715,2000.1869,TRUE,0.40662513633068437,0.45395118172161614
Mannheim EB,BEL,BEL,1991,0.4706220059330089,0.4677831016746525,0.061594892392338584,0,2067,1832.0439428537018,1999.997,TRUE,0.447850956644175,0.4935160024311032
Mannheim EB,BEL,BEL,1992,0.5275759181060204,0.43156124210968944,0.040862839784290055,0,2076,1856.8200587521708,2000.0005,TRUE,0.5048343260033298,0.5502036414174692
Mannheim EB,BEL,BEL,1993,0.5203180085247141,0.4080386232637284,0.07164336821155755,0,2025,1899.0748132271988,1999.9967,TRUE,0.49783000251779436,0.5427239787038844
Mannheim EB,BEL,BEL,1994,0.5162291376611033,0.41913084510155874,0.06464001723733794,0,3133,2714.910672454108,2999.9992,TRUE,0.4974211415344286,0.5349912702084659
Mannheim EB,DEU-E,DEU,1990,0.6189228277607322,0.3634363083740702,0.01764086386519771,0,1021,854.1716719573025,416.6576,TRUE,0.5858897200040283,0.6508910244022887
Mannheim EB,DEU-E,DEU,1991,0.4477340771227513,0.5236929274204106,0.028572995456838043,0,2161,1764.673278941234,833.3183,TRUE,0.424671469263023,0.4710237509480716
Mannheim EB,DEU-E,DEU,1992,0.4108007623988515,0.5482169992671457,0.04098223833400275,0,2127,1708.2019728169946,833.3171,TRUE,0.3876952546291405,0.4343065728204451
Mannheim EB,DEU-E,DEU,1993,0.41220293756689336,0.547104763667071,0.04069229876603565,0,2186,1956.6553726818101,833.3223,TRUE,0.3905850496138199,0.4341649027613427
Mannheim EB,DEU-E,DEU,1994,0.5006225770337077,0.46750191085228093,0.03187551211401144,0,3144,2780.720843865421,1249.9658,TRUE,0.4820502063141197,0.5191932299308507
Mannheim EB,DEU-W,DEU,1975,0.6837321877299466,0.28247196678559233,0.03379584548446111,0,1002,912.3676724128406,1001.9989,TRUE,0.6528406770783268,0.7130829465170396
Mannheim EB,DEU-W,DEU,1976,0.698711652265306,0.2661478076029856,0.03514054013170846,0,2011,1867.3867135054268,2011.0021,TRUE,0.6775107345255104,0.7190966666994142
Mannheim EB,DEU-W,DEU,1977,0.607224326218365,0.3461699220982422,0.04660575168339277,0,2014,1884.730714176065,2013.9982,TRUE,0.5849791129216798,0.629033323259513
Mannheim EB,DEU-W,DEU,1978,0.568127960605743,0.35728897550016797,0.07458306389408897,0,2002,1880.0182623256421,2001.9974,TRUE,0.5456203312333352,0.5903577345190512
Mannheim EB,DEU-W,DEU,1979,0.6584020149427476,0.30900949826879764,0.03258848678845466,0,2008,1461.8971944275681,2007.9975,TRUE,0.6337042931624458,0.6822694152729828
Mannheim EB,DEU-W,DEU,1980,0.6912735249246501,0.25613745605640353,0.052589019018946456,0,1007,869.4717828772924,1007.0011,TRUE,0.6597809979441059,0.721083273677453
Mannheim EB,DEU-W,DEU,1981,0.6373274576075315,0.24409921497840092,0.11857332741406755,0,1966,1280.5769000350695,1966.0096,TRUE,0.610620434344153,0.663213008490793
Mannheim EB,DEU-W,DEU,1982,0.6580837198223454,0.3006200130354187,0.04129626714223595,0,2173,1388.9206875577995,2173.0027,TRUE,0.6327313267541095,0.6825640410036631
Mannheim EB,DEU-W,DEU,1983,0.6760279148938756,0.28574148010931805,0.038230604996806264,0,2106,1381.773485713764,2106.0012,TRUE,0.6508933352614475,0.700186424267213
Mannheim EB,DEU-W,DEU,1984,0.7089993278237636,0.25180956043312286,0.03919111174311347,0,2045,1469.4231603014325,2044.9994,TRUE,0.6852534217225669,0.7316552848005363
Mannheim EB,DEU-W,DEU,1985,0.6663984442806917,0.31072239739437746,0.022879158324930815,0,2036,1077.7013303202775,2035.9971,TRUE,0.6377006129497806,0.693914193521973
Mannheim EB,DEU-W,DEU,1986,0.6327081169062296,0.33857285403854487,0.028719029055225557,0,2072,1042.383547456148,2072.0025,TRUE,0.6030054677756338,0.6614361928235042
Mannheim EB,DEU-W,DEU,1987,0.6531244679476266,0.32281240576903747,0.024063126283335966,0,1950,1041.815059296888,1949.996,TRUE,0.6237063913713478,0.6814174276878243
Mannheim EB,DEU-W,DEU,1988,0.6013669178115106,0.36406941819258415,0.03456366399590515,0,2058,1130.7197110025893,2058.0023,TRUE,0.5725312258978431,0.6295161573533438
Mannheim EB,DEU-W,DEU,1989,0.5830783920037955,0.37850508932194826,0.03841651867425618,0,4443,2886.300963514142,4226.005,TRUE,0.5649918704504465,0.6009440566660341
Mannheim EB,DEU-W,DEU,1990,0.6034374405203309,0.3625014695119385,0.03406108996773054,0,2072,1662.6615154949272,2583.3407,TRUE,0.5797109261143438,0.6266870698034421
Mannheim EB,DEU-W,DEU,1991,0.5219926198586138,0.4392925060835656,0.03871487405782061,0,2073,1800.619508284988,3166.6873,TRUE,0.49889782839994484,0.5449937691234323
Mannheim EB,DEU-W,DEU,1992,0.564328816676955,0.4041425672853211,0.03152861603772381,0,2078,1804.7000885312832,3166.6788,TRUE,0.5413390739524342,0.5870452722732737
Mannheim EB,DEU-W,DEU,1993,0.5167248873270748,0.4209270063864833,0.062348106286441864,0,2083,1757.8456510353678,3166.688,TRUE,0.493352809481679,0.5400240233638516
Mannheim EB,DEU-W,DEU,1994,0.6081919991201716,0.36296242354975694,0.028845577330071363,0,3164,2548.4357430819123,4750.0176,TRUE,0.589089796802718,0.6269685076920402
Mannheim EB,DNK,DNK,1975,0.636790054692894,0.3292130786309445,0.033996866676161586,0,1023,971.9435174840515,1023.0031,TRUE,0.6060711119308798,0.6664319310707371
Mannheim EB,DNK,DNK,1976,0.6424145857591927,0.3251970008588527,0.03238841338195445,0,1942,1804.939536121865,1942.0093,TRUE,0.620021829329794,0.6642024045742757
Mannheim EB,DNK,DNK,1977,0.6339160593341251,0.34217914847168646,0.02390479219418843,0,2007,1900.2383518858012,2006.9867,TRUE,0.6120060600025014,0.655285690670142
Mannheim EB,DNK,DNK,1978,0.6090021425867985,0.3714605789368474,0.01953727847635412,0,1989,1874.7300435675106,1988.9976,TRUE,0.5867113409417576,0.6308471346377308
Mannheim EB,DNK,DNK,1979,0.6802467948223915,0.29440360090450773,0.025349604273100748,0,2102,1963.8833056656877,2102.0052,TRUE,0.6592849024620425,0.7005048935935084
Mannheim EB,DNK,DNK,1980,0.6543473534583241,0.31163610725033264,0.03401653929134327,0,988,793.444488940802,987.9988,TRUE,0.6205831827874033,0.6866241263149089
Mannheim EB,DNK,DNK,1981,0.6569656324939326,0.26449630325997686,0.0785380642460905,0,2015,1542.8110471528933,2015.0051,TRUE,0.6329133596099763,0.6802381579990593
Mannheim EB,DNK,DNK,1982,0.643890081078933,0.32158820935057375,0.03452170957049326,0,1998,1592.766111232727,1998.0036,TRUE,0.6200528382755602,0.6670348956401221
Mannheim EB,DNK,DNK,1983,0.6746448278459765,0.30024135717294737,0.02511381498107618,0,2027,1644.531274293634,2026.9959000000001,TRUE,0.6516166386951858,0.696858983253412
Mannheim EB,DNK,DNK,1984,0.6589759111187825,0.3095498225229625,0.031474266358254975,0,1986,1494.036224825216,1986.0034,TRUE,0.6345573218550496,0.6825790508845228
Mannheim EB,DNK,DNK,1985,0.6751558479019272,0.3057199940545323,0.019124158043540538,0,2017,1415.6809586206764,2016.9986,TRUE,0.6503145727052504,0.6990490878578624
Mannheim EB,DNK,DNK,1986,0.6477400891215337,0.3142642885238084,0.0379956223546579,0,2040,1490.2791681275555,2040.0008,TRUE,0.623136073904959,0.6715843821811365
Mannheim EB,DNK,DNK,1987,0.6850697778404993,0.2784635685520129,0.036466653607487826,0,1994,1327.004279296426,1993.9998,TRUE,0.6595743128031786,0.7094968035196458
Mannheim EB,DNK,DNK,1988,0.7213308318334193,0.25754390412249223,0.02112526404408844,0,2015,1340.0479594520184,2015.0044,TRUE,0.6967188033635716,0.7446774817346322
Mannheim EB,DNK,DNK,1989,0.6615495101756474,0.3071010885126784,0.03134940131167411,0,4014,3326.2446058580977,4014.0001,TRUE,0.6452905407544554,0.6774357513490248
Mannheim EB,DNK,DNK,1990,0.5939077870581962,0.36033899105082506,0.045753221890978704,0,2000,1865.127802291682,2000.0056,TRUE,0.5714487152118628,0.6159808106853129
Mannheim EB,DNK,DNK,1991,0.6106804167958749,0.35556669332999197,0.03375288987413303,0,2000,1724.1087889466062,2000.0006,TRUE,0.5874424206154351,0.633426280919882
Mannheim EB,DNK,DNK,1992,0.632898960130312,0.32152250354324896,0.04557853632643911,0,2000,1749.1978529627027,2000.0006,TRUE,0.6100416320067076,0.655173820307318
Mannheim EB,DNK,DNK,1993,0.6374949875150375,0.33410749767750697,0.02839751480745558,0,2000,1793.2622579224521,2000.006,TRUE,0.6149729438448553,0.6594291956611801
Mannheim EB,DNK,DNK,1994,0.6679035907855059,0.31798502091036546,0.014111388304128733,0,3006,2651.2604696352964,2999.9954,TRUE,0.6497445185767967,0.6855767920804463
Mannheim EB,ESP,ESP,1985,0.36784923729917024,0.560995428321436,0.07115533437939368,0,1003,835.7372160882134,1003.0014,TRUE,0.33582930924773613,0.4010785107039253
Mannheim EB,ESP,ESP,1986,0.34877388381950825,0.5582636355437419,0.09296248063674988,0,2018,1896.2392347887667,2017.998,TRUE,0.3276481564150884,0.3705111117846226
Mannheim EB,ESP,ESP,1987,0.3517286025414999,0.5709905517860803,0.07728084567241991,0,2014,1881.176145165087,2013.9997,TRUE,0.3304720388059148,0.37358951008439134
Mannheim EB,ESP,ESP,1988,0.363614509644451,0.5671506646669966,0.06923482568855244,0,2030,1845.219409807662,2030.0015,TRUE,0.3419699428578945,0.38582578407015056
Mannheim EB,ESP,ESP,1989,0.419479312635296,0.5268505771079498,0.053670110256754264,0,4000,3809.909532083328,4003.9996,TRUE,0.4038983266426496,0.43522251596298456
Mannheim EB,ESP,ESP,1990,0.4271520291391883,0.5564045774381691,0.01644339342264263,0,2001,1866.6595794639877,2000.0008,TRUE,0.4048836010285808,0.44971968482359403
Mannheim EB,ESP,ESP,1991,0.38835328592365004,0.5739844008945403,0.03766231318180962,0,2001,1814.2380779519513,1999.9993,TRUE,0.3661845791609113,0.410993811410284
Mannheim EB,ESP,ESP,1992,0.38406051159394883,0.5471129952887005,0.06882649311735069,0,2004,1876.7999485250218,2000.0002,TRUE,0.362313828059902,0.40628085597953867
Mannheim EB,ESP,ESP,1993,0.4310005939502673,0.5147628316432743,0.05423657440645848,0,2022,1822.6479852306104,1999.9991,TRUE,0.40843393800457173,0.453857498600827
Mannheim EB,ESP,ESP,1994,0.5089865023964006,0.45131242034997876,0.039701077253620605,0,3009,2709.712695917175,2999.9992,TRUE,0.4901638682573351,0.5277836920122753
Mannheim EB,FRA,FRA,1975,0.5981810645477728,0.3746734617602787,0.02714547369194853,0,1276,1165.946836320883,1275.9991,TRUE,0.5697614694461894,0.6259558039372362
Mannheim EB,FRA,FRA,1976,0.6206027845062901,0.3493527717502059,0.03004444374350406,0,2587,2331.8816022498727,2587.0008,TRUE,0.6007245957911245,0.6400842586993643
Mannheim EB,FRA,FRA,1977,0.6640371590320199,0.3107598942259908,0.02520294674198938,0,2266,1914.669142393977,2266.0009,TRUE,0.6425704833336195,0.6848469031467576
Mannheim EB,FRA,FRA,1978,0.6754963240869714,0.29933448592047146,0.02516918999255718,0,2143,1775.3037229892925,2143.005,TRUE,0.6533584556111098,0.6968763155418825
Mannheim EB,FRA,FRA,1979,0.6758387015644273,0.2858750141532924,0.03828628428228027,0,1996,1474.6342898172475,1996.002,TRUE,0.6515185013136399,0.6992451203182254
Mannheim EB,FRA,FRA,1980,0.5832459550612479,0.39734955994347915,0.019404484995272947,0,991,770.4024263679904,990.9977,TRUE,0.5481022021877185,0.6175636178389622
Mannheim EB,FRA,FRA,1981,0.6319930952373322,0.306612964737478,0.06139394002518981,0,1997,1623.1283394780223,1996.9984,TRUE,0.6082451433351534,0.6551177231771439
Mannheim EB,FRA,FRA,1982,0.5690986433073235,0.39188380679315893,0.03901754989951753,0,1938,1547.4134823735917,1937.9997,TRUE,0.5442837263250766,0.5935713221223655
Mannheim EB,FRA,FRA,1983,0.5661725719268383,0.4111098652546607,0.02271756281850105,0,2012,1634.7256849735222,2012.0028,TRUE,0.5420199354260267,0.5900149269339996
Mannheim EB,FRA,FRA,1984,0.5657031933497452,0.41126733988812303,0.02302946676213184,0,2014,1631.913513564746,2013.998,TRUE,0.5415277533512071,0.589570023110138
Mannheim EB,FRA,FRA,1985,0.5444046021025736,0.44052671205949906,0.0150686858379274,0,2024,1699.8119209998492,2024.0053,TRUE,0.52065508653863,0.5679538601407531
Mannheim EB,FRA,FRA,1986,0.574381176008951,0.40442276502518637,0.02119605896586267,0,1998,1724.7907606787733,1998.0035,TRUE,0.5509067395943404,0.5975250126589665
Mannheim EB,FRA,FRA,1987,0.5462075793866769,0.43151812708741427,0.02227429352590891,0,2002,1662.8123139362274,2001.9984,TRUE,0.5221984716267474,0.5700036722723274
Mannheim EB,FRA,FRA,1988,0.618349332769909,0.365867646861909,0.015783020368182042,0,1994,1700.3713576830692,1993.9973,TRUE,0.595016506411067,0.6411485981148893
Mannheim EB,FRA,FRA,1989,0.5718531976366891,0.3787696325565148,0.04937716980679619,0,4045,3486.076467870702,4045.003,TRUE,0.5553571669645625,0.5881910405011519
Mannheim EB,FRA,FRA,1990,0.5159505938963419,0.4250155212197336,0.05903388488392448,0,2024,1839.2402243459844,2000.0039,TRUE,0.4931016826771676,0.5387330123524682
Mannheim EB,FRA,FRA,1991,0.44454976127961804,0.4868096288954062,0.06864060982497572,0,2007,1824.781265327315,1999.9968,TRUE,0.4218899901074704,0.46744251393866176
Mannheim EB,FRA,FRA,1992,0.5033593248320337,0.42229162888541855,0.0743490462825477,0,2010,1783.0415247017734,2000.0001,TRUE,0.4801691781611425,0.5265350271533239
Mannheim EB,FRA,FRA,1993,0.5584229961289553,0.3857377292540655,0.05583927461697926,0,2043,1855.2919663744124,2000.0027,TRUE,0.5357291405292587,0.5808754083100741
Mannheim EB,FRA,FRA,1994,0.5441710832727723,0.404992207675498,0.05083670905172974,0,3041,2759.851328406493,3000.0034,TRUE,0.5255409536840533,0.5626784151137701
Mannheim EB,GBR-GB,GBR,1975,0.5747653869370201,0.3831903955380914,0.04204421752488858,0,1138,924.0341904688509,1403.0229,TRUE,0.5426438174111234,0.6062678677585716
Mannheim EB,GBR-GB,GBR,1976,0.641986850059509,0.3362041395453765,0.02180901039511451,0,2079,1587.9506658099206,2623.7229,TRUE,0.618089817134476,0.6651985464680825
Mannheim EB,GBR-GB,GBR,1977,0.6205171948671032,0.368932101989847,0.010550703143049745,0,2177,1713.5356228344885,2705.6301,TRUE,0.5972953137130386,0.6431999063505263
Mannheim EB,GBR-GB,GBR,1978,0.6223366868456217,0.36173040108062277,0.01593291207375544,0,2159,1514.1520043832074,2699.7764,TRUE,0.5976365608736516,0.6464176157210704
Mannheim EB,GBR-GB,GBR,1979,0.6071347489987001,0.37503030087377714,0.017834950127522814,0,2114,954.0406641954379,2652.9763,TRUE,0.5757732075162805,0.6376369597112801
Mannheim EB,GBR-GB,GBR,1980,0.6282647147101075,0.35645525761036984,0.015280027679522763,0,1157,903.399756703718,1417.6545,TRUE,0.5962696391647737,0.6591735484866121
Mannheim EB,GBR-GB,GBR,1981,0.5758513218466746,0.3790493473914415,0.04509933076188384,0,2149,1794.4175680836202,2694.9003,TRUE,0.5528461784637962,0.5985323846485356
Mannheim EB,GBR-GB,GBR,1982,0.495173959355579,0.4942934277628013,0.010532612881619705,0,2003,1535.8494996946263,2529.154,TRUE,0.4702119437236676,0.5201600573735525
Mannheim EB,GBR-GB,GBR,1983,0.5880150860510291,0.3967429652341519,0.015241948714818942,0,1997,1541.2047496826099,2559.3709,TRUE,0.5632526903913228,0.6123398006603992
Mannheim EB,GBR-GB,GBR,1984,0.5408379127251878,0.44476019976636627,0.014401887508446027,0,2124,1570.6839646720014,2690.0224,TRUE,0.5161231891592408,0.5653533598499703
Mannheim EB,GBR-GB,GBR,1985,0.46861149580216316,0.5170720471073724,0.014316457090464387,0,2177,1949.0821016638122,2756.3244,TRUE,0.44654088303724465,0.49080559734201307
Mannheim EB,GBR-GB,GBR,1986,0.39241406654798444,0.5945190612011999,0.013066872250815703,0,2055,1788.8120643570678,2630.553,TRUE,0.3700395109253313,0.4152497286633939
Mannheim EB,GBR-GB,GBR,1987,0.5204718801409627,0.4671502591649406,0.012377860694096854,0,1974,1583.163011338868,2548.6472,TRUE,0.49584279689516214,0.5450018524274282
Mannheim EB,GBR-GB,GBR,1988,0.5508648602767202,0.43559401941829984,0.013541120304979958,0,2031,1507.839194001154,2601.2988,TRUE,0.5256604885880594,0.5758107085416337
Mannheim EB,GBR-GB,GBR,1989,0.47306716570810764,0.4986126823051688,0.028320151986723587,0,3848,3191.9523398259503,4994.9626,TRUE,0.45578916597693336,0.4904099162825239
Mannheim EB,GBR-GB,GBR,1990,0.5258424855618452,0.4576838778700718,0.016473636568083046,0,2102,2013.7808789998678,2535.0019,TRUE,0.5040048286884578,0.5475817330513488
Mannheim EB,GBR-GB,GBR,1991,0.4667226719440385,0.5077011858623072,0.025576142193654342,0,2127,2003.3423820721077,2534.9992,TRUE,0.44496055385975763,0.48861217066168594
Mannheim EB,GBR-GB,GBR,1992,0.5472797425166637,0.4289823388490489,0.02373791863428743,0,2074,1903.7548597355853,2534.999,TRUE,0.5248469334909872,0.569522123574281
Mannheim EB,GBR-GB,GBR,1993,0.4885110727933635,0.48371407403789907,0.027774853168737523,0,2134,1994.5882434607108,2535.0017,TRUE,0.46661686178672884,0.5104494543400862
Mannheim EB,GBR-GB,GBR,1994,0.5055672631864825,0.47138367208759213,0.023049064725925328,0,3190,2971.5608713747747,3802.5057,TRUE,0.4875951121602344,0.5235250382091727
Mannheim EB,GBR-NI,GBR,1975,0.3889863225390437,0.5087481829627921,0.1022654944981642,0,301,285.53797772439316,35.9789,TRUE,0.33426939526422417,0.44665072901531677
Mannheim EB,GBR-NI,GBR,1976,0.46614621268651174,0.49067850273357255,0.04317528457991575,0,612,594.6349387856704,67.27459999999999,TRUE,0.42639563373240436,0.5063314041973865
Mannheim EB,GBR-NI,GBR,1977,0.48840923340804426,0.4995020071059478,0.012088759486007912,0,598,592.6791351999693,69.3785,TRUE,0.4483697522224125,0.5285980039186304
Mannheim EB,GBR-NI,GBR,1978,0.4154735865793298,0.5551022413050827,0.029424172115587427,0,610,589.8818310384522,69.2186,TRUE,0.3763763543377684,0.45566465023404246
Mannheim EB,GBR-NI,GBR,1979,0.49556901545111065,0.48463856750121287,0.019792417047676453,0,607,601.268229177584,68.021,TRUE,0.45575965062882734,0.535434641366578
Mannheim EB,GBR-NI,GBR,1980,0.41798061264909114,0.5408295189472294,0.041189868403679414,0,297,286.96013757818275,36.3536,TRUE,0.3623640386961644,0.47576420032807953
Mannheim EB,GBR-NI,GBR,1981,0.4913293291844562,0.45449743107316015,0.05417323974238368,0,615,602.334929730071,69.095,TRUE,0.4515862447886855,0.5311823130810202
Mannheim EB,GBR-NI,GBR,1982,0.4909924982459927,0.4745395249146126,0.034467976839394614,0,591,576.3571841742319,64.8515,TRUE,0.4503733836962321,0.5317308933584919
Mannheim EB,GBR-NI,GBR,1983,0.46667845093730664,0.48751984786100244,0.04580170120169084,0,628,616.8993312133143,65.6242,TRUE,0.42763732126722215,0.50613201696028
Mannheim EB,GBR-NI,GBR,1984,0.4038773805933795,0.5609747964462177,0.0351478229604027,0,635,620.3272619389286,68.9744,TRUE,0.36597004197043376,0.4429679395825747
Mannheim EB,GBR-NI,GBR,1985,0.4831349388828126,0.48913275708624043,0.02773230403094699,0,650,634.6253140584388,70.6757,TRUE,0.4444739686993582,0.5219988602838201
Mannheim EB,GBR-NI,GBR,1986,0.40534093217235573,0.5433817304655821,0.05127733736206225,0,643,611.0428548122562,67.4489,TRUE,0.36712140642540947,0.4447432566455366
Mannheim EB,GBR-NI,GBR,1987,0.38798871953225533,0.5610012868791879,0.05100999358855672,0,640,617.9378144467723,65.3519,TRUE,0.35037201437925203,0.4269895249788579
Mannheim EB,GBR-NI,GBR,1988,0.34298556513082534,0.6077757587751651,0.04923867609400955,0,637,611.3363745904038,66.6996,TRUE,0.30644032440976576,0.3814918209659095
Mannheim EB,GBR-NI,GBR,1989,0.3148212741021849,0.6292224361538198,0.055956289743995184,0,1174,1133.2227621271122,129.0132,TRUE,0.28844377462317716,0.3424500353691854
Mannheim EB,GBR-NI,GBR,1990,0.32112890218602447,0.6578711655308697,0.020999932283105868,0,632,624.807008129674,64.9764,TRUE,0.28570622279251534,0.3587377033667323
